m,n
39,181
178,111
138,101
119,15
166,51
35,112
127,108
154,60
41,191
41,145
130,173
185,151
44,96
88,141
153,30
65,51
87,66
47,24
50,30
196,169
198,17
166,40
106,191
136,124
67,167
147,136
87,47
175,37
143,126
106,50
59,38
153,164
111,53
117,46
157,163
93,19
106,19
183,164
75,134
103,150
178,90
87,114
86,104
151,81
34,57
190,78
194,111
12,181
60,192
51,113
78,30
58,105
64,198
20,65
102,188
17,15
115,137
106,174
24,60
154,86
80,175
77,90
110,29
171,123
109,127
186,138
38,61
179,99
169,198
188,134
18,107
68,126
82,160
197,37
104,90
86,188
197,35
139,45
150,97
37,140
132,12
125,142
194,199
58,14
35,92
32,54
69,138
173,61
38,60
126,98
179,148
131,150
125,64
110,144
104,142
152,74
183,184
25,91
62,140
74,179
129,120
112,125
131,163
20,48
23,194
150,170
90,71
117,166
25,68
28,147
55,103
127,39
168,167
40,22
157,194
15,82
200,153
193,109
114,18
99,128
169,109
57,198
177,189
162,139
14,122
175,27
26,124
157,183
158,114
122,130
34,170
49,59
59,82
178,168
157,94
159,56
123,149
191,192
183,176
110,99
181,187
156,155
94,25
61,194
189,27
31,124
82,73
61,41
181,29
34,18
59,84
99,96
66,195
152,105
95,116
50,164
108,78
193,126
78,85
129,187
11,19
43,103
134,179
101,181
101,17
69,10
40,153
44,176
113,170
92,95
20,47
155,33
187,46
14,47
179,24
20,103
24,113
52,64
32,43
199,194
94,117
117,198
159,83
87,142
140,111
190,21
190,23
30,18
159,111
157,140
96,198
42,18
198,134
175,72
21,158
15,110
27,67
115,164
50,130
24,25
172,83
132,69
85,78
141,176
63,69
87,11
43,77
138,146
171,173
78,171
78,148
93,186
155,30
47,45
66,62
31,45
33,132
153,44
164,171
192,196
29,182
118,191
173,153
92,11
133,154
12,23
76,176
128,39
70,176
16,107
91,200
155,133
198,40
139,54
159,151
77,195
109,11
148,175
195,74
72,199
157,24
155,97
178,130
132,121
169,167
200,169
21,197
132,29
79,193
165,156
182,125
71,135
104,200
100,91
64,104
141,192
112,147
59,122
167,80
158,49
175,131
124,184
145,153
131,65
82,134
158,78
132,46
115,101
12,73
32,24
46,33
99,161
67,143
34,14
101,102
101,110
195,54
198,151
104,194
155,147
56,155
69,76
181,29
10,71
101,48
105,114
152,71
79,120
107,200
54,67
176,99
169,54
10,169
119,14
43,110
137,101
173,166
121,23
141,21
175,52
125,153
68,167
149,155
151,116
188,173
102,152
108,92
128,23
116,144
150,183
45,19
140,199
136,108
53,43
139,186
55,196
192,83
103,143
194,126
199,107
98,185
74,113
16,119
154,114
98,69
187,160
160,149
79,56
157,59
171,87
17,134
155,110
193,167
37,176
125,56
34,83
153,137
166,18
139,45
27,83
57,128
121,136
107,138
197,187
166,52
99,96
45,132
73,13
72,111
167,34
169,191
145,192
17,82
87,51
184,170
53,16
105,19
151,101
48,25
24,180
18,114
70,128
131,61
39,45
154,145
49,186
143,26
152,126
95,137
119,42
188,78
125,171
116,188
19,199
99,85
148,11
110,200
110,42
131,75
53,105
148,46
101,115
115,58
31,54
104,149
185,22
61,17
81,36
59,93
106,80
115,89
42,15
107,53
13,123
53,98
168,92
189,190
88,163
127,29
165,12
21,39
199,152
136,157
96,172
137,116
179,40
97,108
27,48
73,189
59,189
176,148
172,76
84,82
101,144
49,23
32,92
158,116
123,103
32,117
196,47
155,17
133,113
140,75
13,16
40,149
176,96
20,19
123,186
178,67
164,121
180,61
169,72
72,113
12,171
112,147
88,86
138,46
152,186
65,54
127,173
96,117
179,34
69,179
129,180
140,78
161,69
93,79
55,88
18,70
142,14
174,173
134,81
61,123
51,55
68,174
117,17
23,124
124,73
196,96
177,11
182,93
137,33
42,132
187,131
195,164
79,180
28,181
14,57
10,95
126,70
75,95
10,66
170,148
76,75
148,78
86,50
112,157
159,37
109,109
25,81
178,82
162,77
12,11
121,126
188,136
54,123
162,62
192,139
32,129
103,187
183,164
180,167
188,24
148,55
142,37
139,61
186,63
103,68
67,126
87,180
90,198
154,77
45,128
157,52
135,42
126,117
74,31
119,13
65,11
102,23
85,178
54,64
64,23
44,173
100,94
54,146
116,126
124,107
39,64
53,46
119,175
137,121
115,95
150,56
36,48
85,67
104,182
168,84
161,159
137,190
92,159
43,188
75,193
161,127
110,193
110,32
160,171
198,86
60,33
170,176
63,78
186,11
42,185
19,14
33,136
38,144
17,86
144,93
137,26
44,108
133,82
93,157
97,22
196,33
31,140
156,48
11,199
179,192
178,133
27,130
194,48
199,138
129,96
72,175
166,29
112,19
77,167
189,73
192,70
24,105
13,65
195,192
42,170
47,98
115,43
44,110
191,195
158,32
56,184
38,118
25,109
180,199
136,26
49,49
128,59
127,160
106,174
117,166
48,116
177,161
176,13
53,17
113,92
89,138
47,34
94,116
148,123
80,117
154,72
23,92
79,65
116,23
105,135
200,57
51,67
17,41
139,32
176,47
143,43
77,148
104,91
109,166
14,165
140,124
180,100
125,14
147,75
198,196
10,33
48,134
33,10
94,26
125,66
50,176
163,130
28,182
43,173
51,52
152,55
36,120
37,13
139,73
47,18
190,79
120,89
86,129
122,60
64,177
13,59
184,119
106,147
122,179
187,200
162,54
167,142
62,13
194,180
185,102
123,192
182,98
41,115
58,60
53,143
86,35
103,99
150,12
60,138
61,17
119,180
90,129
41,162
154,118
132,112
107,87
136,194
57,87
86,169
58,109
16,188
151,87
14,171
166,171
34,166
190,188
167,27
25,15
87,32
81,131
179,125
172,10
97,54
70,159
81,113
11,189
120,144
150,64
23,55
14,38
194,162
30,55
60,136
184,14
200,173
156,51
110,147
158,40
143,102
151,198
151,137
43,195
187,102
98,42
11,34
144,168
168,98
169,16
125,130
183,116
147,132
68,119
165,18
51,58
50,53
81,175
145,56
185,167
24,92
189,10
52,39
180,107
26,30
51,81
153,125
34,161
23,53
85,71
99,83
101,59
172,198
114,24
92,176
17,175
14,107
198,105
66,33
168,155
124,85
91,140
60,23
118,52
99,33
129,72
191,169
78,137
67,162
34,72
17,48
30,167
152,49
83,45
61,139
172,28
44,143
98,177
176,169
166,37
120,30
173,180
75,124
13,17
157,41
21,133
76,153
75,100
137,129
150,96
21,47
120,142
170,38
191,66
121,174
127,120
117,82
141,171
83,150
99,119
91,194
19,44
41,119
196,49
123,82
182,29
143,158
109,155
187,137
196,123
98,105
180,159
114,78
177,129
184,69
69,40
38,131
165,57
113,21
14,134
99,102
17,83
179,24
129,146
144,71
37,166
120,65
188,28
63,83
41,87
51,141
50,40
74,182
25,106
74,187
130,133
53,193
25,172
77,104
112,186
194,30
85,104
64,55
105,89
46,21
123,99
123,135
161,34
159,37
63,158
127,152
199,89
100,193
13,102
103,184
153,153
20,40
72,79
67,30
70,194
159,106
33,59
101,156
47,158
164,71
53,50
29,104
159,140
35,73
196,189
162,187
83,163
116,76
81,10
37,48
139,143
43,76
47,91
38,82
157,12
114,26
175,142
16,197
180,158
174,117
89,19
134,156
118,53
174,24
18,106
73,34
189,144
192,137
68,128
82,107
160,38
148,149
94,69
144,157
67,155
194,49
161,29
86,98
25,106
175,155
117,19
110,182
183,119
158,77
108,40
187,58
68,180
34,107
30,145
158,18
51,61
103,166
144,19
34,190
26,91
119,56
187,126
141,121
104,131
145,167
148,57
141,111
70,140
179,185
178,106
94,46
104,75
114,134
85,87
32,31
132,87
166,112
80,46
169,187
107,182
89,56
183,123
73,75
70,131
130,195
134,92
120,102
135,129
111,43
32,53
47,23
100,187
189,21
71,130
179,164
93,160
83,100
60,68
176,90
72,144
26,130
193,111
178,47
28,21
139,91
119,190
