m,n
163,75
52,129
59,194
164,115
84,195
43,159
27,100
72,168
57,191
113,107
10,109
18,62
15,189
152,42
66,64
157,34
59,146
85,15
128,160
199,75
144,128
80,70
88,122
76,80
72,69
19,93
117,15
102,35
189,113
93,75
50,108
177,90
81,63
45,124
148,151
62,160
115,191
42,200
53,136
181,84
175,187
98,80
166,88
30,134
31,26
51,32
29,30
117,171
55,91
99,160
31,138
56,22
11,161
154,25
45,139
136,77
133,165
42,51
33,112
41,116
14,180
196,96
115,142
197,146
96,87
101,200
130,10
60,59
27,155
108,145
119,46
42,119
140,13
111,149
48,131
109,30
67,140
47,81
81,177
187,190
82,12
120,136
165,164
71,128
10,78
118,33
76,19
25,144
76,75
200,59
185,18
48,63
105,11
36,156
136,84
40,59
157,129
134,80
200,157
24,69
83,30
68,137
148,119
148,27
75,83
31,26
57,107
13,123
65,197
196,191
167,104
126,90
30,59
125,25
66,53
123,108
156,164
35,76
189,179
161,148
65,32
100,99
114,18
148,162
190,130
17,66
97,11
151,194
44,48
176,173
36,188
168,199
83,23
143,153
43,82
43,164
192,103
173,187
31,175
95,166
53,52
89,161
122,75
109,39
11,31
97,132
109,87
170,76
168,180
144,86
197,90
188,90
189,52
111,198
17,123
110,146
180,91
156,129
47,134
176,195
173,185
42,81
188,13
50,77
51,88
154,78
20,149
83,74
124,169
183,57
17,120
71,191
146,197
144,103
63,100
93,77
101,63
79,30
55,50
90,141
97,78
195,171
24,82
141,192
192,189
130,38
195,110
68,98
61,53
68,17
193,43
48,123
23,48
92,151
116,39
199,114
24,74
177,200
102,116
164,190
59,43
51,75
38,91
138,17
158,109
80,18
56,192
131,139
18,193
124,178
176,71
185,34
150,32
133,129
81,193
125,10
91,118
67,73
32,34
133,64
116,36
177,109
127,113
166,80
64,127
47,11
36,130
95,185
101,155
61,11
193,149
152,64
137,180
60,10
79,178
131,77
13,144
32,50
26,15
132,19
23,152
48,198
60,165
45,181
112,133
79,189
162,163
31,135
41,35
36,169
195,84
183,135
73,118
177,190
98,79
198,51
104,162
103,165
42,72
11,21
112,167
46,161
149,174
41,185
59,11
165,24
158,79
61,163
93,123
195,55
51,100
110,52
163,170
104,65
119,193
148,175
30,67
157,41
85,189
162,36
75,191
16,24
130,116
64,57
39,18
35,138
111,98
78,35
178,153
145,187
155,56
121,110
146,65
173,197
41,63
46,111
83,114
131,89
119,116
74,121
192,118
192,148
193,41
133,192
48,34
73,200
91,190
26,191
106,16
121,130
168,34
77,91
153,198
167,182
125,90
169,76
150,186
22,164
154,135
181,46
71,143
24,83
134,175
110,131
162,23
120,107
105,64
190,191
89,36
162,192
88,191
167,12
53,45
85,177
137,175
25,154
12,140
19,50
36,49
100,163
13,13
63,13
149,127
154,140
10,57
60,86
40,130
173,151
110,44
40,43
175,163
172,189
165,17
109,66
87,126
45,96
44,127
37,106
100,25
33,41
123,179
104,91
115,69
147,170
57,121
137,59
196,155
113,23
52,134
147,30
177,34
172,144
60,114
95,177
13,194
96,154
200,67
168,185
110,108
71,22
102,34
138,77
79,29
76,75
69,97
197,157
122,46
190,89
26,146
169,119
23,52
134,199
28,59
178,34
22,176
32,61
196,70
154,11
118,159
25,142
172,150
171,160
195,138
46,152
144,174
166,191
106,85
44,165
26,139
150,192
105,184
197,135
129,35
98,199
127,40
61,153
170,157
101,145
110,100
190,187
82,146
36,142
170,193
75,97
182,88
95,125
149,195
87,147
154,184
60,72
171,17
160,168
57,37
181,140
193,149
22,32
71,134
161,197
19,87
64,45
18,27
55,167
197,179
94,101
192,86
197,189
167,98
111,73
195,57
152,173
148,24
61,132
42,173
136,186
42,66
91,132
154,199
134,44
62,74
116,188
39,176
89,125
116,48
23,163
19,179
183,134
159,155
83,45
148,110
185,174
62,146
91,126
96,196
76,119
141,135
33,187
105,78
71,47
181,170
165,25
15,60
41,188
97,166
116,127
167,15
69,46
175,42
178,184
194,171
157,55
35,123
130,19
183,174
154,21
135,116
83,106
81,34
16,23
120,37
133,200
85,154
167,132
83,187
76,175
12,14
53,123
171,19
195,123
95,45
19,66
175,150
199,45
181,183
63,188
11,190
38,155
200,123
102,66
71,81
98,41
106,142
134,118
29,33
143,50
147,46
146,10
26,94
153,102
74,67
131,75
45,19
51,78
57,102
11,113
154,109
81,99
101,66
169,128
143,14
155,49
152,186
101,17
118,61
70,150
182,61
21,146
73,75
31,93
59,45
121,151
132,76
103,101
144,107
99,144
20,178
92,47
151,124
197,115
164,105
149,194
73,100
143,46
191,172
95,34
84,172
198,69
79,144
122,50
191,57
184,166
199,18
191,29
40,32
85,192
138,14
172,181
73,164
176,89
186,176
127,114
46,194
23,136
161,58
52,198
88,152
26,55
170,120
19,120
184,24
118,98
68,32
149,155
174,112
182,120
123,53
37,192
197,56
75,26
190,184
103,21
161,132
140,166
77,188
27,130
55,74
169,144
81,50
200,125
157,79
80,95
57,134
140,42
137,13
131,22
146,134
135,173
64,29
81,177
65,141
104,146
110,54
32,148
141,64
182,143
164,70
163,85
62,115
35,37
189,136
30,155
56,194
173,144
60,41
41,28
33,104
188,19
84,146
92,148
65,165
44,63
97,179
37,103
76,142
22,164
57,99
154,58
76,33
121,86
56,55
61,29
123,51
38,132
53,160
135,138
123,76
11,144
36,153
144,143
50,51
190,64
80,59
23,196
58,29
23,70
170,100
36,90
73,153
113,15
177,169
56,167
133,12
23,186
114,15
116,71
115,89
176,60
74,167
177,41
42,57
87,192
50,139
191,143
76,42
100,68
135,102
130,111
81,132
192,181
195,171
194,50
148,189
50,75
66,124
80,174
178,179
172,49
110,74
157,106
144,177
193,21
195,139
163,145
34,161
10,140
104,18
171,166
87,128
178,114
87,43
67,154
110,128
58,11
130,135
192,39
157,86
78,78
82,88
191,191
99,86
71,113
98,96
133,72
180,60
149,145
192,120
182,157
20,126
196,125
99,74
112,187
170,100
96,113
36,13
186,127
146,131
50,174
154,106
67,56
93,194
199,173
167,79
136,185
167,47
67,124
148,38
193,12
21,28
26,178
65,10
24,158
157,93
111,47
191,137
28,192
30,32
86,75
23,11
58,19
95,177
45,137
31,181
171,95
61,28
66,35
29,89
56,121
197,22
177,32
47,109
118,15
61,152
187,149
97,169
168,117
79,55
161,88
161,69
130,85
84,62
51,42
134,92
133,167
145,183
15,19
86,157
157,166
167,13
53,144
139,50
57,67
156,10
155,27
117,160
118,81
30,16
157,175
134,163
56,35
12,22
154,57
28,38
38,133
38,50
74,140
95,38
18,11
36,136
98,33
32,187
62,74
85,176
109,129
17,165
37,75
116,95
166,56
10,117
56,78
122,153
121,122
196,126
180,151
185,120
34,28
41,144
95,92
180,108
73,185
156,163
64,105
18,18
59,112
91,140
137,189
21,156
96,13
73,180
145,132
26,171
127,101
68,150
190,100
106,170
146,65
17,56
75,150
176,38
44,90
64,50
196,13
131,162
21,172
120,24
38,166
56,94
183,28
68,102
143,127
45,59
47,25
139,36
63,67
58,82
