m,n
53,86
191,187
152,61
126,44
142,49
140,163
106,154
11,26
141,158
65,71
166,124
132,130
134,33
150,141
176,198
12,197
200,153
37,70
46,16
21,184
10,120
146,100
183,169
100,59
180,49
49,17
54,193
52,40
16,54
11,30
87,133
113,167
162,194
131,87
150,179
157,130
36,28
101,12
123,76
101,109
68,26
101,113
14,11
70,166
159,103
124,146
169,108
110,12
153,54
111,71
137,51
46,65
92,145
52,120
73,106
13,146
52,43
29,129
181,13
31,107
22,172
45,42
135,187
68,65
64,17
118,177
45,90
115,183
197,134
87,181
136,35
187,88
157,22
93,86
144,96
49,163
179,137
68,53
93,117
151,60
81,191
88,127
23,12
22,92
104,34
76,96
49,181
183,86
181,165
166,49
38,166
102,45
121,102
75,165
187,123
25,51
106,77
18,113
110,126
190,67
123,53
138,91
68,156
31,33
110,88
167,62
57,15
135,159
54,100
71,177
137,113
127,27
14,72
24,60
191,130
141,86
94,116
70,122
62,81
115,13
30,117
79,146
199,180
117,127
183,107
16,34
129,180
35,15
192,138
97,97
77,183
72,123
116,110
26,82
61,112
73,191
59,157
120,63
14,70
101,84
191,29
65,187
83,87
13,104
156,83
157,86
194,84
140,173
107,118
116,139
91,122
82,59
118,150
60,73
160,128
68,44
160,165
194,52
88,169
149,67
126,116
107,86
163,107
104,90
184,134
175,45
176,24
190,13
186,103
65,43
166,159
14,84
70,98
127,188
59,169
158,110
28,34
54,148
101,72
29,152
198,183
23,187
39,79
52,109
141,15
200,192
105,119
97,177
106,116
181,44
164,138
135,23
17,188
65,50
62,96
140,20
51,144
151,65
98,128
106,26
42,17
100,105
71,43
125,111
129,35
77,20
37,26
64,182
25,185
43,150
71,88
81,77
141,176
44,170
184,92
186,125
194,63
116,38
99,164
16,179
40,100
125,155
123,117
65,38
134,47
61,189
30,29
80,81
22,31
158,39
107,95
123,59
153,188
196,26
193,45
150,73
149,21
39,114
45,79
168,126
29,83
159,83
128,130
114,179
151,98
27,88
15,77
18,86
36,187
102,140
63,178
86,49
108,169
151,166
22,167
140,146
85,33
100,133
54,101
152,61
12,16
128,162
33,27
80,155
24,30
138,97
126,18
101,95
34,136
30,91
76,154
117,46
87,161
21,147
34,128
10,166
127,46
129,163
74,194
178,58
121,128
93,48
143,122
77,91
28,146
42,102
24,71
112,33
14,170
120,198
154,192
30,193
98,85
139,55
175,148
117,128
139,96
99,93
26,41
183,21
182,43
30,171
116,159
59,109
171,42
187,158
104,75
157,27
77,129
92,69
13,101
104,111
98,153
93,136
185,139
136,39
14,65
168,75
90,193
101,123
18,152
182,177
156,88
138,39
165,53
68,18
130,181
173,19
49,137
125,86
181,150
105,49
114,35
184,176
99,49
58,61
10,97
39,142
128,182
170,49
106,71
63,28
39,121
12,184
51,133
84,62
42,32
173,55
112,94
112,76
23,144
131,63
80,134
29,118
135,158
10,137
73,55
170,121
75,82
164,116
95,159
78,87
192,96
39,34
113,94
151,197
144,116
105,70
20,114
75,102
130,49
197,148
177,177
167,97
104,75
29,108
12,180
61,155
199,41
41,106
19,176
185,188
162,55
60,49
60,38
131,100
189,198
67,88
140,30
24,109
80,77
149,161
149,190
84,146
22,150
145,153
80,194
159,152
144,186
166,39
183,156
99,117
96,65
113,76
48,182
82,26
190,127
149,153
58,197
23,70
97,198
193,177
14,191
68,94
58,166
198,50
116,58
129,84
131,84
199,36
17,118
97,177
134,186
171,133
65,66
93,95
163,159
33,77
191,45
16,184
145,136
117,18
153,53
50,105
147,62
105,60
73,111
62,45
147,167
85,122
61,184
101,111
128,109
179,156
161,77
195,115
170,62
27,34
30,84
163,101
184,65
78,77
90,28
17,36
128,188
101,114
70,134
105,179
120,94
91,161
131,10
19,39
186,18
161,133
14,103
132,44
110,133
145,153
100,121
146,125
40,176
20,30
101,145
20,82
17,79
113,52
91,152
188,175
34,75
19,51
75,119
100,117
103,110
58,129
126,82
63,113
77,152
74,169
103,112
99,82
29,104
120,41
145,185
22,152
187,140
105,195
62,118
116,116
76,55
37,167
28,178
191,72
15,94
74,120
16,33
162,100
130,180
155,166
132,92
32,123
143,80
173,49
37,174
122,16
36,125
102,175
93,90
189,66
94,80
109,140
45,183
182,104
60,182
158,59
61,161
126,123
94,186
33,121
89,18
88,150
153,77
76,70
108,110
60,107
34,162
95,12
128,95
185,25
195,164
24,104
176,41
89,83
68,52
133,78
67,190
122,46
120,172
108,54
59,160
58,93
172,69
76,198
166,134
200,18
64,86
103,88
67,139
78,127
140,122
180,92
175,82
40,62
130,14
44,76
147,137
108,182
188,151
78,56
69,112
63,82
118,13
81,152
128,77
88,173
76,18
143,47
120,36
151,127
144,167
127,43
105,39
143,133
167,97
14,13
35,117
190,153
49,181
115,169
117,187
168,131
157,54
144,170
41,23
200,10
191,180
12,95
81,96
161,169
165,18
177,140
21,35
25,180
15,168
123,107
100,137
167,67
158,129
119,27
81,92
59,134
107,195
166,13
112,146
107,85
147,22
115,98
14,12
178,178
75,115
81,66
31,25
30,169
181,170
189,73
179,68
197,99
139,43
157,141
82,75
101,175
63,181
113,180
196,42
165,50
133,69
31,177
150,115
73,67
136,183
116,158
24,123
131,178
42,44
42,88
40,129
29,92
54,167
58,170
166,40
110,195
130,60
130,19
38,26
159,174
41,119
47,182
152,56
89,23
59,157
64,170
24,21
61,200
188,134
24,20
47,181
35,10
50,62
116,36
174,161
139,90
168,174
184,137
109,161
60,185
135,13
26,32
158,27
116,27
179,120
50,81
44,24
78,128
59,156
52,116
78,66
67,79
88,145
111,200
55,44
172,101
143,154
122,78
47,82
193,87
139,151
152,26
132,148
35,21
200,50
31,70
17,109
99,108
162,82
30,147
165,92
100,184
154,165
123,40
127,112
126,194
100,91
38,179
132,24
91,89
88,161
137,61
127,59
199,105
52,175
16,76
31,194
20,110
124,129
61,27
46,71
102,15
58,186
170,149
104,75
94,160
46,181
21,79
176,123
117,179
118,151
169,154
50,187
16,120
41,108
19,54
69,34
182,183
163,110
139,89
175,10
53,198
189,166
124,139
149,18
127,102
147,98
40,89
125,153
178,37
143,44
66,118
138,135
72,175
99,118
124,175
65,153
190,81
195,70
26,66
156,74
188,137
142,190
167,107
66,103
199,112
86,58
110,61
65,145
166,97
115,13
177,181
117,95
89,16
150,184
149,25
161,94
58,110
33,75
96,56
198,110
75,59
96,117
46,140
149,150
92,11
134,74
86,115
182,40
30,150
172,35
180,151
142,57
197,77
156,143
20,146
66,146
136,55
125,112
71,16
23,105
132,27
134,128
108,45
132,31
141,22
42,137
22,186
151,22
140,56
106,158
163,19
128,105
156,128
144,95
151,92
64,178
173,193
97,155
27,125
173,183
22,95
163,95
186,94
158,90
200,107
184,119
21,80
111,57
123,54
115,45
71,43
83,16
177,172
75,182
168,101
175,76
73,129
60,157
175,55
190,172
132,51
78,72
133,153
158,18
45,39
143,129
145,102
108,29
181,81
46,110
19,106
40,159
42,102
165,77
77,158
130,91
44,112
16,112
143,53
183,142
72,68
165,81
126,118
122,75
181,154
121,127
51,98
49,175
142,87
23,133
93,177
124,27
180,123
60,164
61,176
102,79
68,160
130,125
46,86
123,95
87,120
194,161
110,71
182,189
20,200
57,115
129,150
18,18
147,25
30,29
76,187
113,96
79,89
108,103
149,191
42,74
200,90
34,89
155,154
118,33
107,118
151,52
114,34
64,165
85,58
78,199
64,107
114,159
150,144
153,13
84,169
26,30
61,118
16,32
26,66
167,147
139,167
44,126
67,123
41,58
116,80
93,99
50,179
63,91
134,185
199,197
200,154
189,188
126,13
74,128
157,196
122,27
50,68
125,24
178,152
197,120
23,127
163,183
136,174
73,150
51,120
199,45
93,10
62,137
24,68
42,165
130,194
104,198
28,76
168,94
112,159
74,40
147,165
41,109
73,78
99,171
59,47
27,108
110,198
130,123
141,184
131,122
56,122
30,140
66,122
38,76
191,48
19,109
16,55
37,11
148,89
197,174
138,170
113,154
197,165
50,24
102,134
40,89
80,120
174,17
45,170
54,118
106,80
87,71
74,22
51,121
15,57
14,153
10,15
23,80
134,109
112,101
186,159
107,41
190,129
71,143
175,199
61,177
160,74
196,195
10,37
128,114
74,131
160,39
88,61
119,192
191,190
83,104
23,176
123,194
189,18
144,81
35,171
49,23
37,40
165,30
148,63
157,193
199,12
118,102
93,36
75,79
74,63
74,185
164,27
115,68
160,183
80,196
99,161
80,19
67,133
194,109
58,101
66,16
104,31
64,198
128,189
48,66
156,71
96,15
91,85
63,56
177,82
128,197
117,18
200,140
98,93
34,190
106,135
118,139
35,155
27,75
185,109
51,192
106,64
11,34
14,157
161,34
19,62
60,150
125,92
70,178
59,122
132,40
28,23
122,23
73,37
107,85
33,173
54,163
138,99
184,55
79,197
110,126
21,143
98,36
176,181
72,114
109,196
108,180
20,27
138,80
89,56
167,19
81,75
43,83
62,133
176,127
170,147
169,103
199,151
168,171
127,184
71,71
142,35
151,71
111,153
78,24
156,152
131,106
46,86
193,170
150,11
94,154
188,178
119,65
105,29
125,40
167,166
169,79
17,69
73,123
61,81
23,182
65,97
76,182
200,192
162,58
145,158
103,182
186,122
127,195
13,160
45,95
100,113
50,26
24,25
53,40
89,165
131,83
69,10
38,163
151,129
55,120
166,45
200,74
52,51
115,143
185,133
33,149
38,145
169,19
125,148
102,166
20,145
22,126
131,185
19,55
132,137
75,22
77,193
198,24
36,39
153,187
97,131
156,14
12,68
175,113
188,123
140,130
12,170
156,194
76,197
23,11
126,144
176,169
38,192
127,183
90,181
27,151
178,187
10,81
47,166
175,187
11,124
126,95
47,57
64,37
194,197
56,31
17,61
75,135
187,47
118,130
140,69
168,152
185,84
131,50
89,23
100,94
16,163
91,24
171,16
163,98
142,121
152,63
26,200
95,185
109,62
173,17
86,42
62,162
36,165
16,197
119,142
39,81
174,155
165,191
166,156
177,141
48,146
33,147
79,153
189,116
85,48
49,67
86,172
155,164
66,146
50,28
154,51
96,78
34,11
76,86
80,28
93,163
105,106
178,109
96,183
152,125
162,97
170,19
95,174
13,192
195,184
175,166
171,145
135,144
115,179
136,38
36,76
87,142
123,102
123,178
37,43
13,145
128,21
174,65
129,12
93,74
194,152
85,123
87,154
95,135
40,85
49,149
126,100
60,51
161,195
13,70
108,127
128,88
146,70
17,74
122,95
98,160
15,164
65,84
58,196
131,195
162,180
99,166
168,166
147,104
112,162
151,141
180,99
106,90
162,166
73,81
163,89
21,10
82,167
157,162
161,191
157,134
193,138
23,46
57,159
115,193
112,75
193,48
141,18
28,73
23,181
28,13
157,79
111,133
185,37
141,153
67,94
179,160
45,97
45,62
182,34
69,192
69,83
195,173
60,110
159,197
110,16
101,59
143,68
89,77
115,193
94,143
12,110
175,135
32,167
174,182
106,80
62,68
111,102
127,171
154,106
169,93
143,14
77,134
53,160
131,39
25,39
106,197
196,200
46,78
177,52
155,61
98,144
107,92
51,151
177,148
86,52
162,137
186,83
24,132
41,134
135,181
73,25
28,180
81,114
28,182
199,63
167,115
99,37
69,175
123,161
78,170
69,108
35,139
69,142
159,33
131,110
177,154
79,78
101,62
171,68
76,22
96,130
69,49
91,117
39,188
149,105
102,126
197,199
21,130
92,100
149,160
123,57
182,187
169,57
179,37
71,56
168,114
95,60
135,147
48,141
50,171
178,154
125,146
150,112
12,69
52,99
126,44
64,38
13,125
32,48
97,65
151,76
66,187
83,122
71,55
64,162
112,101
165,124
152,20
99,100
175,89
193,47
176,166
183,52
152,158
174,199
70,117
190,11
66,98
53,154
188,101
113,159
108,148
93,105
142,26
35,112
92,40
43,50
113,147
101,34
35,153
74,129
148,134
55,136
35,37
112,141
179,175
11,96
182,53
116,15
163,130
74,28
130,125
55,135
113,17
94,18
12,32
116,53
88,17
198,19
46,123
178,99
159,140
88,117
73,70
89,112
93,137
188,87
167,34
81,103
72,183
47,39
69,196
176,11
16,183
180,162
154,130
22,22
58,181
85,175
137,17
109,159
194,122
112,162
82,173
141,63
51,186
109,56
142,66
168,163
70,114
12,192
59,86
122,102
35,18
78,180
42,64
96,146
11,49
144,118
119,164
183,175
84,68
185,88
90,61
71,165
124,103
136,133
170,57
36,47
53,100
92,168
173,120
175,38
17,150
119,51
123,133
100,80
114,89
139,96
48,146
14,42
32,85
16,99
168,17
171,149
94,111
84,70
111,87
90,113
113,65
65,111
197,110
33,83
59,157
13,153
174,55
36,147
187,179
177,36
196,128
121,149
150,100
182,54
41,193
109,34
132,47
10,88
68,66
160,35
150,175
44,145
21,176
164,50
128,189
105,153
131,142
102,182
30,149
150,91
192,40
113,198
151,49
104,158
33,178
199,79
41,131
31,27
59,182
154,191
146,89
45,123
149,34
93,120
176,140
144,176
135,161
10,165
116,37
126,179
154,123
109,78
192,27
61,34
10,187
182,153
58,99
164,126
80,64
50,37
64,43
172,188
152,10
142,176
113,83
67,114
191,126
194,141
24,18
29,15
185,114
93,90
10,19
159,150
103,150
152,27
74,140
141,109
100,37
74,147
93,121
73,34
179,154
189,70
192,122
177,65
18,131
178,43
87,127
193,92
51,134
81,93
151,19
82,150
11,70
154,117
21,114
136,126
112,179
86,16
159,135
143,98
23,41
17,32
136,93
158,132
169,193
120,45
138,168
115,128
139,99
64,93
15,38
21,19
123,105
18,70
82,174
50,58
65,29
177,37
46,68
35,118
159,25
34,12
135,168
50,66
194,75
65,198
78,120
92,151
25,195
156,177
177,57
128,88
128,30
130,183
134,168
67,158
197,158
188,184
191,122
169,195
52,53
105,147
188,96
115,117
85,73
168,194
110,154
184,81
154,132
121,105
171,50
89,139
196,179
135,164
64,163
159,120
172,70
158,127
154,108
22,21
44,16
89,55
64,96
97,91
139,106
31,172
39,155
200,93
163,133
40,95
184,108
58,39
178,88
178,78
63,88
106,184
40,39
124,159
27,29
71,77
198,99
39,174
10,166
179,138
89,47
164,129
185,95
130,177
111,80
37,91
135,94
194,193
40,171
28,178
58,96
73,70
21,30
86,182
196,76
64,32
191,120
171,95
189,105
90,15
118,132
156,70
114,128
95,146
74,111
17,71
160,148
38,161
182,120
57,95
122,176
150,41
82,129
172,153
142,30
113,68
106,21
16,58
58,118
131,25
58,134
73,55
33,99
130,79
63,179
24,46
53,150
179,65
155,18
141,32
113,93
163,199
125,16
47,101
173,194
98,141
33,98
37,75
161,76
157,187
81,167
40,48
30,69
111,172
81,120
16,130
164,44
134,138
61,192
178,125
56,113
102,75
47,34
159,48
35,172
11,113
181,80
195,72
123,161
124,164
17,144
125,11
153,71
129,70
52,156
66,47
102,32
17,101
193,167
96,133
66,148
186,164
137,99
176,180
79,109
27,96
196,116
44,142
64,113
153,195
57,70
94,154
41,172
24,147
127,117
34,98
59,39
125,191
131,55
47,58
76,168
158,85
131,124
187,118
13,159
190,73
123,84
181,171
142,64
56,124
157,158
30,133
137,73
23,196
121,199
123,25
41,58
36,148
96,50
60,187
127,72
24,195
192,82
56,48
40,109
76,189
66,97
136,71
96,151
175,142
138,118
37,169
153,194
175,77
45,115
23,56
16,105
101,91
144,171
42,168
86,198
143,151
81,128
63,184
148,106
75,14
106,128
148,144
192,19
176,39
38,57
20,106
62,178
184,191
78,70
50,82
86,58
73,105
109,155
166,77
50,194
167,92
25,18
35,52
28,13
64,45
59,103
37,126
35,111
63,197
130,67
106,80
76,183
123,41
34,125
100,162
167,72
31,97
177,111
114,160
97,130
14,128
171,162
155,23
132,173
176,70
22,195
104,95
80,116
24,95
16,108
146,85
165,25
176,113
135,170
80,46
109,199
21,188
84,154
53,61
45,61
48,166
49,168
159,47
141,64
131,15
121,13
35,74
144,92
110,164
103,137
93,183
35,163
149,176
77,175
169,183
131,110
137,17
131,35
160,165
102,40
111,193
