m,n
185,182
93,148
130,114
69,71
178,21
41,18
134,148
76,10
80,26
195,83
56,139
38,44
99,37
122,65
74,141
36,110
187,58
145,151
63,53
185,44
150,95
93,159
174,137
165,47
20,35
190,163
20,108
166,134
111,98
63,44
57,171
54,56
27,94
95,60
30,15
82,171
138,197
167,76
46,79
177,100
153,92
191,132
106,11
71,18
113,105
159,79
171,24
142,197
48,61
179,122
51,179
77,139
69,65
71,87
65,178
94,49
27,135
91,37
161,41
48,31
24,90
64,59
81,194
136,128
66,146
155,121
17,121
94,27
69,16
176,52
148,151
23,73
156,195
114,73
20,86
67,197
69,163
27,170
66,32
61,59
49,168
148,123
92,97
57,20
99,177
46,141
126,49
23,76
106,157
185,62
192,13
189,142
52,22
36,79
118,39
143,48
85,84
15,132
79,200
111,93
13,181
178,24
160,52
62,20
117,119
67,97
183,116
25,187
178,90
61,193
154,121
96,114
31,183
154,118
68,194
190,56
180,63
62,147
134,91
106,26
176,81
194,126
40,82
67,137
107,191
147,158
121,123
63,36
46,37
90,149
73,157
55,82
25,104
16,103
193,113
137,142
183,139
45,38
20,193
153,173
23,141
27,180
119,132
164,118
104,141
72,74
86,186
81,166
104,78
105,190
60,134
96,140
138,27
103,23
72,14
33,28
127,29
112,34
134,141
60,170
190,197
130,165
163,116
100,150
115,20
12,100
151,158
59,40
73,154
200,111
14,90
93,150
179,38
75,57
58,146
157,192
103,45
48,168
165,107
141,68
198,45
25,126
98,120
156,104
96,189
160,18
160,200
62,141
140,176
98,83
90,156
26,110
135,56
54,125
17,125
198,28
162,159
54,76
118,89
113,198
197,85
27,50
63,73
54,35
40,38
164,196
22,80
73,172
190,108
107,35
188,90
123,176
31,19
110,182
154,117
189,198
186,96
79,46
139,168
195,128
166,25
178,180
84,165
12,99
70,138
67,21
98,180
198,10
11,41
64,192
51,56
182,184
189,174
131,32
46,33
168,58
128,157
40,187
18,105
91,53
180,155
103,190
169,180
165,118
34,50
70,86
184,60
83,118
88,129
