m,n
52,154
24,176
37,188
103,143
109,75
175,195
119,106
47,132
67,116
66,46
173,176
90,190
67,150
55,31
97,38
105,68
73,12
171,14
167,120
193,94
126,136
57,84
186,181
171,123
190,179
140,49
118,132
140,183
124,189
112,74
157,20
94,59
57,104
188,10
78,151
24,169
85,59
21,61
186,165
163,113
110,75
154,193
40,69
70,90
93,65
142,39
22,23
110,161
83,171
46,125
47,63
92,126
71,130
79,87
58,54
160,107
26,196
117,41
158,189
94,186
151,174
53,175
85,93
189,193
158,54
59,74
135,58
66,54
188,70
33,24
198,56
134,28
81,30
76,124
64,159
168,179
168,96
66,132
93,20
26,12
79,89
107,93
34,43
161,45
51,154
157,129
167,193
179,89
154,65
118,58
44,180
25,36
51,153
181,101
144,120
120,43
33,43
158,116
181,119
90,22
74,105
29,47
24,57
100,51
191,62
24,94
123,137
168,97
141,73
178,180
179,100
125,119
51,50
143,72
73,96
128,99
25,48
136,191
44,122
63,70
189,25
136,116
72,195
44,110
132,117
175,187
71,161
68,200
121,177
151,131
70,40
67,41
22,199
109,23
115,88
131,157
177,48
29,166
60,161
81,34
140,36
66,98
14,80
97,169
29,16
158,112
84,93
106,29
134,21
33,191
164,80
26,191
107,91
109,79
169,104
155,30
151,138
199,159
12,56
56,56
56,169
193,179
95,123
101,79
136,174
177,127
77,175
134,103
41,183
88,162
189,77
131,189
52,79
73,32
138,114
46,133
181,74
14,150
123,160
71,171
34,79
65,89
179,128
148,187
15,171
158,77
119,48
82,119
149,96
20,120
174,99
199,38
47,193
46,133
31,165
39,109
91,47
11,50
149,105
69,13
72,151
17,34
129,15
99,100
101,20
62,149
135,133
139,197
183,78
102,178
10,162
86,40
93,171
18,169
19,170
18,127
46,99
184,170
35,118
23,142
77,189
19,156
54,41
175,59
60,134
130,198
165,29
195,195
123,48
178,142
110,88
94,54
171,146
20,61
146,41
11,185
124,156
130,29
89,81
76,61
146,147
96,157
72,187
45,80
135,58
126,89
19,182
195,42
132,189
13,25
154,69
200,121
169,32
44,117
176,70
62,91
162,37
102,83
186,41
53,192
52,48
18,173
134,83
94,179
87,23
85,158
77,23
67,12
187,25
50,59
169,173
185,35
145,119
172,83
171,66
123,25
23,186
144,196
46,117
190,82
122,184
38,142
144,161
106,113
173,164
32,83
97,175
162,20
81,71
18,53
50,133
167,119
64,132
59,96
137,60
190,101
171,41
81,85
165,36
31,189
53,180
92,94
42,152
93,195
107,11
14,102
159,77
12,176
71,11
189,121
194,200
186,132
184,83
117,15
30,170
66,194
42,94
194,123
59,183
137,21
43,174
89,40
94,172
60,61
58,53
17,180
115,145
106,141
191,192
72,57
22,44
102,144
116,118
121,12
145,178
54,72
68,83
108,113
137,34
113,48
191,197
95,171
27,62
37,198
