m,n
25,97
60,48
172,114
69,20
33,190
137,32
160,69
89,66
171,158
33,88
170,53
113,69
194,29
140,44
151,158
200,123
189,105
53,116
44,187
124,150
108,19
20,123
199,105
98,172
33,189
151,86
136,200
71,194
87,31
28,103
145,118
145,13
77,30
64,11
26,47
30,192
104,69
167,64
10,199
13,148
132,43
77,112
76,26
22,26
157,140
146,186
30,200
24,42
37,68
94,147
106,105
116,12
25,168
101,135
82,15
104,172
126,101
150,80
55,44
31,195
35,196
25,169
137,19
165,43
54,200
101,173
136,53
55,112
82,170
35,172
169,107
97,197
183,124
109,180
165,98
137,19
198,196
177,140
14,32
10,23
39,34
130,21
146,117
143,84
93,166
57,166
65,121
147,179
147,23
200,80
119,113
40,155
190,18
89,136
156,29
59,102
176,40
78,17
123,190
99,22
86,15
181,106
178,24
165,186
127,130
22,197
157,99
24,117
17,114
188,189
142,101
67,71
55,160
182,58
162,145
56,24
53,180
122,87
38,15
188,40
133,149
195,81
61,117
85,174
125,191
78,121
140,188
63,79
43,148
130,184
159,92
67,106
92,59
26,162
77,25
85,182
117,177
76,30
36,184
34,190
135,55
138,132
185,37
70,136
20,140
103,159
30,136
102,142
139,26
162,67
103,144
58,17
158,86
200,125
139,177
194,12
117,123
41,119
108,28
187,112
165,147
63,129
156,74
57,20
75,120
23,98
158,109
33,194
139,168
10,174
85,63
182,140
115,197
123,169
160,44
33,109
110,81
156,159
154,195
40,168
159,68
70,175
41,180
12,178
164,168
167,99
62,109
194,82
16,28
121,127
27,136
183,70
56,142
143,118
93,86
94,130
101,43
45,148
86,183
99,81
190,99
19,78
108,184
34,79
59,135
11,168
96,177
197,193
73,138
73,37
50,174
71,102
24,138
163,187
143,115
199,99
72,59
82,129
26,67
185,83
163,152
105,156
111,92
42,60
171,58
43,156
121,57
68,113
96,151
36,62
19,194
197,146
61,73
38,85
72,85
200,103
73,164
17,127
128,107
181,152
109,132
51,37
167,113
105,191
104,147
109,164
61,89
10,122
74,102
83,13
51,145
34,145
96,135
173,61
73,47
50,177
199,89
106,100
46,73
12,13
31,134
89,154
200,142
47,122
139,115
62,200
153,50
96,163
114,119
179,27
23,166
12,44
158,74
42,115
184,130
75,112
33,125
112,159
154,160
172,154
11,186
33,143
100,81
64,30
179,101
191,28
30,138
38,165
65,131
144,69
38,56
47,30
63,89
29,29
